SEQ;COMPLETA;CHS_MED;CHS_ENF;CHS_TEC;CHS_FISIO_AS;MOTIVOS
1619934;False;40.0;40.0;156.0;30.0;ENF:40h<60h
1509276;False;72.0;40.0;156.0;30.0;ENF:40h<60h
1549855;False;88.0;40.0;156.0;30.0;ENF:40h<60h
1595954;False;127.0;40.0;120.0;60.0;ENF:40h<60h
1597078;False;60.0;40.0;156.0;30.0;ENF:40h<60h
1597094;False;140.0;40.0;132.0;60.0;ENF:40h<60h
2333864;True;40.0;84.0;160.0;60.0;
1475894;False;40.0;40.0;120.0;30.0;ENF:40h<60h
1591207;True;40.0;144.0;506.0;60.0;
356816;False;40.0;0.0;120.0;30.0;ENF:0h<60h
1695827;False;44.0;40.0;196.0;60.0;ENF:40h<60h
1584731;False;67.0;40.0;120.0;60.0;ENF:40h<60h
1699350;False;93.0;40.0;120.0;30.0;ENF:40h<60h
1663674;True;56.0;80.0;186.0;60.0;
365270;False;94.0;40.0;156.0;0.0;"ENF:40h<60h; FISIO/AS:0h<30h"
1689835;True;60.0;100.0;150.0;30.0;
2156628;True;100.0;188.0;418.0;30.0;
2517388;True;168.0;224.0;264.0;150.0;
1466003;False;114.0;40.0;160.0;60.0;ENF:40h<60h
369071;False;64.0;0.0;196.0;30.0;ENF:0h<60h
367877;True;82.0;60.0;156.0;30.0;
2408856;True;80.0;112.0;180.0;30.0;
368121;True;171.0;88.0;144.0;30.0;
1663569;False;104.0;40.0;150.0;60.0;ENF:40h<60h
1608304;True;60.0;60.0;156.0;30.0;
1607170;False;204.0;40.0;120.0;60.0;ENF:40h<60h
355070;False;112.0;40.0;120.0;62.0;ENF:40h<60h
1506234;False;64.0;40.0;120.0;50.0;ENF:40h<60h
354430;True;104.0;76.0;120.0;60.0;
365130;True;60.0;76.0;144.0;30.0;
1569961;True;100.0;60.0;140.0;30.0;
1483722;False;40.0;40.0;156.0;120.0;ENF:40h<60h
356085;True;118.0;180.0;180.0;30.0;
366781;False;192.0;40.0;156.0;60.0;ENF:40h<60h
368148;True;114.0;100.0;144.0;30.0;
1595938;True;109.0;76.0;156.0;30.0;
2195615;False;53.0;40.0;150.0;32.0;ENF:40h<60h
1506595;False;161.0;40.0;120.0;30.0;ENF:40h<60h
1657429;True;130.0;80.0;200.0;30.0;
2141337;True;150.0;264.0;471.0;142.0;
1597086;False;120.0;40.0;150.0;60.0;ENF:40h<60h
1611623;False;105.0;40.0;120.0;30.0;ENF:40h<60h
358908;True;101.0;156.0;120.0;60.0;
2189801;True;124.0;280.0;332.0;30.0;
1610023;True;114.0;73.0;120.0;70.0;
363103;True;92.0;90.0;196.0;90.0;
355240;True;84.0;70.0;156.0;30.0;
1616579;False;65.0;40.0;120.0;60.0;ENF:40h<60h
1517902;True;145.0;286.0;228.0;120.0;
1603671;False;174.0;40.0;266.0;90.0;ENF:40h<60h
1600885;False;117.0;40.0;120.0;60.0;ENF:40h<60h
1715917;False;55.0;40.0;270.0;80.0;ENF:40h<60h
2333856;False;79.0;40.0;232.0;90.0;ENF:40h<60h
367893;True;60.0;60.0;120.0;30.0;
1666215;False;40.0;80.0;90.0;120.0;TEC:90h<120h
1486306;True;126.0;60.0;156.0;30.0;
1610139;True;90.0;80.0;196.0;60.0;
1615718;False;110.0;40.0;170.0;75.0;ENF:40h<60h
365157;True;40.0;76.0;144.0;30.0;
363316;False;40.0;40.0;153.0;90.0;ENF:40h<60h
